Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_AC,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RM,R_HEAT_TYP,YR_BUILT,Latitude,Longitude
106492000,289000,277.88,1040,Row Middle,1622,2,3,1,1,1,N,0,R1,Y,RM,F,F,5,E,1910,42.37604,-71.03481
106494000,300000,179,1676,Row End,2640,2,2,2,0,2,N,0,R2,Y,RE,F,M,9,W,1900,42.37597,-71.03492
106516000,325000,316.76,1082,Row Middle,1614,2,2,2,0,1,N,0,R1,Y,RM,F,M,5,W,1900,42.376341,-71.034702
106535000,395000,191.01,1512,Row Middle,2620,3,4,2,0,1,N,0,R1,Y,RM,M,B,7,W,1880,42.37671,-71.035667
106553000,600000,185.19,3240,Row Middle,4698,3,5,3,0,3,N,0,R3,Y,RM,F,B,14,E,1900,42.377085,-71.03467
106624000,320000,278.26,1112,Row End,1868,2,4,1,1,1,N,0,R1,N,RE,F,W,6,W,1900,42.37741,-71.03465
106676000,320000,137.1,2047,Conventional,3306,2,2,2,0,2,N,0,R2,Y,CV,G,M,8,W,1900,42.378228,-71.032407
106686000,535000,157.31,3401,Decker,4924,3,9,4,3,3,N,0,R3,N,DK,F,P,18,W,1910,42.37798,-71.03318
106714000,561000,210.11,2910,Row Middle,3880,3,6,3,0,3,N,0,R3,Y,RM,M,A,15,S,1900,42.37768,-71.03305
106721000,245000,217.2,1214,Conventional,2020,1.5,3,1,0,1,N,0,R1,Y,CV,G,W,6,W,1910,42.3779,-71.03251
106767000,355000,116.32,2800,Decker,3704,3,6,3,0,3,N,0,R3,Y,DK,F,P,12,W,1900,42.37662,-71.03304
106769000,397000,110.03,3442,Semi?Det,4900,3,8,3,0,3,N,0,R3,Y,SD,F,M,17,S,1900,42.376706,-71.033182
106792000,500000,193.57,2583,Decker,3801,3,6,3,0,3,N,0,R3,N,DK,F,M,15,W,1900,42.37712,-71.0319
106796000,500000,279.17,1791,Row Middle,2388,3,7,3,0,3,N,0,R3,Y,RM,F,M,14,E,1900,42.37742,-71.03157
106859000,440000,198.56,2216,Decker,3326,3,3,3,0,3,N,0,R3,N,DK,F,M,11,F,1900,42.37625,-71.03111
106866000,680000,209.3,3364,Decker,3872,3,6,3,0,3,N,0,R3,N,DK,F,M,15,W,1900,42.37657,-71.03075
106870000,550000,249.43,2205,Decker,3297,3,5,3,0,3,N,0,R3,N,DK,F,M,11,E,1918,42.37677,-71.03052
106974000,465000,249.2,1866,Row Middle,2812,3,3,3,0,3,N,0,R3,N,RM,F,M,9,F,1900,42.37825,-71.03156
200079000,950000,395.67,2397,Row Middle,3280,3,5,3,0,2,N,0,R2,Y,RM,F,F,12,F,1880,42.38068,-71.0618
200085000,610000,479.94,1271,Semi?Det,1888,3,2,2,1,1,C,2,R1,Y,SD,G,F,4,F,1875,42.38037,-71.06178
200106010,815000,533.73,1527,Semi?Det,2340,2,3,2,1,1,C,1,R1,Y,SD,H,F,6,W,1899,42.3792,-71.06261
200118000,1150000,523.2,2333,Colonial,3704,3.5,3,2,1,1,C,1,R1,N,CL,G,F,17,F,1840,42.37994,-71.06177
200123000,740000,479.9,1542,Semi?Det,2820,2,4,2,0,2,N,0,R2,Y,SD,G,M,8,E,1885,42.38033,-71.0615
200181000,980000,390.13,2287,Colonial,3664,2,3,2,2,1,C,0,R1,Y,CL,G,W,9,F,1885,42.37816,-71.06202
200323000,1202000,571.56,2103,Conventional,3351,2,3,3,0,2,C,3,R2,Y,CV,G,F,8,W,1855,42.377803,-71.064199
200360000,1100000,586.67,2346,Row End,3123,3,4,2,0,1,N,0,R1,Y,RE,M,F,8,F,1870,42.37775,-71.06309
200387000,575000,352.33,1570,Semi?Det,2624,2,5,1,1,1,N,1,R1,Y,SD,G,P,8,F,1850,42.37697,-71.06298
200400000,751000,630.56,1020,Row End,1692,2,3,2,1,1,C,1,R1,Y,RE,G,F,5,F,1880,42.37736,-71.06238
200491000,950000,473.82,2005,Row End,2831,3,4,3,0,3,N,0,R3,N,RE,F,W,9,W,1890,42.37701,-71.06545
200519000,680000,604.44,1080,Semi?Det,1510,3,2,1,1,1,N,0,R1,Y,SD,M,B,6,W,1865,42.37729,-71.06609
200588010,570000,385.4,1479,Row End,1972,3,2,1,1,1,N,0,R1,N,RE,F,B,7,W,1850,42.37863,-71.06722
200686000,700000,585.28,1311,Colonial,1617,1.5,2,1,1,1,N,1,R1,Y,CL,G,W,5,F,1845,42.37958,-71.06462
200694000,1050000,409.36,2565,Conventional,3800,2.5,4,3,0,2,N,2,R2,N,SD,L,B,10,W,1802,42.379422,-71.063871
200757000,620000,607.84,1020,Cape,1800,1.5,2,2,0,1,N,0,R1,Y,CP,G,W,5,F,1965,42.38051,-71.06689
200828000,975000,574.2,1698,Row End,2280,3,3,3,0,1,C,1,R1,Y,RE,F,F,7,F,1858,42.37949,-71.06515
200829000,1000000,588.93,1698,Row Middle,2364,3,2,2,0,1,C,2,R1,N,RM,F,F,7,F,1860,42.37951,-71.06522
200857000,975000,449.1,2171,Row Middle,2352,3,6,1,1,1,N,0,R1,Y,RM,F,F,10,F,1860,42.3797,-71.06522
200891000,785000,644.5,1131,Cape,1816,1.5,2,2,0,1,N,1,R1,Y,CP,G,M,5,W,1920,42.37954,-71.06606
200932000,732500,615.55,1191,Row End,1326,2,2,2,1,1,C,0,R1,N,RE,F,C,6,F,1870,42.3788,-71.06645
200951000,685000,590.52,1160,Row Middle,1740,2,2,1,0,1,N,0,R1,N,RM,F,W,6,W,1860,42.37911,-71.06623
200996000,605000,500.83,1224,Row End,1680,3,4,1,0,1,N,0,R1,Y,RE,F,M,6,F,1880,42.3797,-71.06774
200997000,530000,438.74,1208,Row End,1882,2,2,1,1,1,N,0,R1,N,RE,F,W,6,W,1835,42.3798,-71.06786
201003000,742000,515.28,1440,Row End,1980,3,3,1,0,1,N,0,R1,N,RE,F,F,6,W,1880,42.37999,-71.06829
201005000,620000,362.15,1658,Row Middle,2232,3,3,1,0,1,N,0,R1,Y,RM,F,M,7,F,1880,42.38007,-71.06822
201043000,615000,677.31,908,Row End,1005,2,2,2,0,1,C,1,R1,Y,RE,G,W,6,F,1920,42.38015,-71.06843
201048000,844000,604.15,1340,Row Middle,2163,2,3,2,1,1,C,0,R1,Y,RM,G,C,6,F,1865,42.38006,-71.06863
201053000,830000,406.66,2041,Colonial,3515,2,4,2,0,1,N,0,R1,Y,CL,G,M,9,W,1880,42.37988,-71.06879
